match_id,team1,team2,winner,venue,date,gender,match_type,overs
1278673,India,New Zealand,India,"Eden Gardens, Kolkata",2021-11-21,male,T20,20
1278679,West Indies,India,India,"Eden Gardens, Kolkata",2022-02-16,male,T20,20
1278680,India,West Indies,India,"Eden Gardens, Kolkata",2022-02-18,male,T20,20
1278681,India,West Indies,India,"Eden Gardens, Kolkata",2022-02-20,male,T20,20
1278684,India,Sri Lanka,India,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,male,T20,20
1278685,Sri Lanka,India,India,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022-02-26,male,T20,20
1278686,Sri Lanka,India,India,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022-02-27,male,T20,20
1278687,India,South Africa,South Africa,"Arun Jaitley Stadium, Delhi",2022-06-09,male,T20,20
1278688,India,South Africa,South Africa,"Barabati Stadium, Cuttack",2022-06-12,male,T20,20
1278689,India,South Africa,India,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2022-06-14,male,T20,20
1278690,India,South Africa,India,"Saurashtra Cricket Association Stadium, Rajkot",2022-06-17,male,T20,20
1278691,India,South Africa,,"M Chinnaswamy Stadium, Bangalore",2022-06-19,male,T20,20
1279379,Estonia,Cyprus,Cyprus,Happy Valley Ground,2021-10-05,male,T20,20
1279380,Estonia,Cyprus,Cyprus,Happy Valley Ground,2021-10-05,male,T20,20
1279381,Cyprus,Isle of Man,Isle of Man,Happy Valley Ground,2021-10-06,male,T20,20
1279382,Estonia,Isle of Man,Isle of Man,Happy Valley Ground,2021-10-06,male,T20,20
1279383,Cyprus,Isle of Man,Isle of Man,Happy Valley Ground,2021-10-07,male,T20,20
1279385,Cyprus,Estonia,Cyprus,Happy Valley Ground,2021-10-08,male,T20,20
1279386,Estonia,Isle of Man,Isle of Man,Happy Valley Ground,2021-10-08,male,T20,20
1280058,Scotland,Namibia,Namibia,"ICC Academy, Dubai",2021-10-09,male,T20,20
1280059,Namibia,Papua New Guinea,Namibia,"ICC Academy, Dubai",2021-10-10,male,T20,20
1280060,United Arab Emirates,Ireland,Ireland,"ICC Academy, Dubai",2021-10-07,male,T20,20
1280061,United Arab Emirates,Ireland,United Arab Emirates,"ICC Academy, Dubai",2021-10-08,male,T20,20
1280062,Ireland,United Arab Emirates,United Arab Emirates,"ICC Academy, Dubai",2021-10-10,male,T20,20
1280063,Papua New Guinea,Scotland,Scotland,"ICC Academy, Dubai",2021-10-08,male,T20,20
1282272,Malta,Gibraltar,Malta,Marsa Sports Club,2021-10-21,male,T20,20
1282273,Gibraltar,Switzerland,Switzerland,Marsa Sports Club,2021-10-22,male,T20,20
1282275,Bulgaria,Switzerland,Switzerland,Marsa Sports Club,2021-10-22,male,T20,20
1282276,Switzerland,Malta,Switzerland,Marsa Sports Club,2021-10-23,male,T20,20
1282278,Gibraltar,Bulgaria,Bulgaria,Marsa Sports Club,2021-10-24,male,T20,20
1282279,Malta,Switzerland,Malta,Marsa Sports Club,2021-10-24,male,T20,20
1282738,Jersey,Germany,Jersey,"Desert Springs Cricket Ground, Almeria",2021-10-15,male,T20,20
1282739,Denmark,Italy,Italy,"Desert Springs Cricket Ground, Almeria",2021-10-15,male,T20,20
1282740,Denmark,Germany,Germany,"Desert Springs Cricket Ground, Almeria",2021-10-16,male,T20,20
1282741,Jersey,Italy,Jersey,"Desert Springs Cricket Ground, Almeria",2021-10-16,male,T20,20
1282742,Jersey,Denmark,Jersey,"Desert Springs Cricket Ground, Almeria",2021-10-17,male,T20,20
1282743,Italy,Germany,Germany,"Desert Springs Cricket Ground, Almeria",2021-10-17,male,T20,20
1282744,Italy,Denmark,Italy,"Desert Springs Cricket Ground, Almeria",2021-10-19,male,T20,20
1282745,Germany,Jersey,Jersey,"Desert Springs Cricket Ground, Almeria",2021-10-19,male,T20,20
1282746,Italy,Jersey,Jersey,"Desert Springs Cricket Ground, Almeria",2021-10-20,male,T20,20
1282747,Germany,Denmark,Germany,"Desert Springs Cricket Ground, Almeria",2021-10-20,male,T20,20
