venue,avg_first_innings_score,matches_played
Malkerns Country Club oval,144.77777777777777,9
Mangaung Oval,123.0,6
Manuka Oval,132.96153846153845,26
"Manuka Oval, Canberra",127.6923076923077,13
"Maple Leaf North-East Ground, King City",154.0,8
Maple Leaf North-West Ground,122.5,4
"Maple Leaf North-West Ground, King City",106.55882352941177,34
"Marina Ground, Corfu",72.27777777777777,18
"Marrara Stadium, Darwin",168.5,4
Marsa Sports Club,133.07142857142858,126
McLean Park,154.4,10
"McLean Park, Napier",121.75,4
"Meersen, Gent",113.2,10
Melbourne Cricket Ground,127.46938775510205,49
Mercantile Cricket Association Ground,130.5,2
"Mission Road Ground, Mong Kok",100.75,4
"Mission Road Ground, Mong Kok, Hong Kong",119.19444444444444,72
"Mladost Cricket Ground, Zagreb",109.66666666666667,18
Moara Vlasiei Cricket Ground,86.5,6
"Moara Vlasiei Cricket Ground, Ilfov County",118.7843137254902,102
Mombasa Sports Club Ground,106.16666666666667,6
Morodok Techo National Stadium,29.375,8
Moses Mabhida Stadium,150.5,2
Mulpani Cricket Ground,135.76923076923077,26
Multan Cricket Stadium,143.33333333333334,6
"N'Du Stadium, Noumea, New Caledonia",62.25,12
"Namibia Cricket Ground, Windhoek",100.71428571428571,28
Narendra Modi Stadium,158.7,10
"Narendra Modi Stadium, Ahmedabad",174.75,4
"Nassau County International Cricket Stadium, New York",98.6875,16
"National Cricket Stadium, Grenada",194.0,2
"National Cricket Stadium, St George's",67.0,2
"National Cricket Stadium, St George's, Grenada",160.78571428571428,14
"National Sports Academy, Sofia",128.0,32
National Stadium,113.58333333333333,12
"National Stadium, Hamilton",114.7,10
"National Stadium, Karachi",145.96666666666667,30
"New Farnley CC, Leeds",67.0,6
New Wanderers Stadium,147.12,50
Newlands,141.85416666666666,48
"Newlands, Cape Town",135.6153846153846,26
"Nigeria Cricket Federation Oval 1, Abuja",110.6875,48
"Nigeria Cricket Federation Oval 2, Abuja",80.1,10
Nondescripts Cricket Club Ground,78.75,4
North Sydney Oval,134.08333333333334,12
"North Sydney Oval, Sydney",148.5,6
OUTsurance Oval,161.5,2
Old Hararians,86.3125,16
Old Trafford,132.85714285714286,21
"Old Trafford, Manchester",159.5,8
P Sara Oval,98.5,8
"P Sara Oval, Colombo",114.0,6
Pallekele International Cricket Stadium,149.83333333333334,54
"Pembroke Cricket Club, Sandymount",144.5,2
"Pembroke Cricket Club, Sandymount, Dublin",126.1875,16
Perth Stadium,137.28571428571428,14
