match_id,team1,team2,winner,venue,date,gender,match_type,overs,team,team_score,opponent,won_toss,batting_first
1085496,West Indies,Pakistan,Pakistan,"Queen's Park Oval, Port of Spain",2017-04-02,male,T20,20,Pakistan,123,West Indies,1,1
1085496,West Indies,Pakistan,Pakistan,"Queen's Park Oval, Port of Spain",2017-04-02,male,T20,20,West Indies,121,Pakistan,0,0
1086067,England,Australia,Australia,North Sydney Oval,2017-11-17,female,T20,20,Australia,131,England,1,1
1086067,England,Australia,Australia,North Sydney Oval,2017-11-17,female,T20,20,England,120,Australia,0,0
1086068,England,Australia,England,Manuka Oval,2017-11-19,female,T20,20,Australia,102,England,0,1
1086068,England,Australia,England,Manuka Oval,2017-11-19,female,T20,20,England,143,Australia,1,0
1086069,Australia,England,England,Manuka Oval,2017-11-21,female,T20,20,Australia,174,England,0,1
1086069,Australia,England,England,Manuka Oval,2017-11-21,female,T20,20,England,174,Australia,1,0
1089202,United Arab Emirates,Papua New Guinea,United Arab Emirates,Sheikh Zayed Stadium,2017-04-12,male,T20,20,Papua New Guinea,96,United Arab Emirates,0,1
1089202,United Arab Emirates,Papua New Guinea,United Arab Emirates,Sheikh Zayed Stadium,2017-04-12,male,T20,20,United Arab Emirates,105,Papua New Guinea,1,0
1089203,United Arab Emirates,Papua New Guinea,United Arab Emirates,Sheikh Zayed Stadium,2017-04-14,male,T20,20,Papua New Guinea,135,United Arab Emirates,0,1
1089203,United Arab Emirates,Papua New Guinea,United Arab Emirates,Sheikh Zayed Stadium,2017-04-14,male,T20,20,United Arab Emirates,167,Papua New Guinea,1,0
1089243,United Arab Emirates,Papua New Guinea,United Arab Emirates,Sheikh Zayed Stadium,2017-04-14,male,T20,20,Papua New Guinea,121,United Arab Emirates,0,1
1089243,United Arab Emirates,Papua New Guinea,United Arab Emirates,Sheikh Zayed Stadium,2017-04-14,male,T20,20,United Arab Emirates,126,Papua New Guinea,1,0
1098211,West Indies,India,West Indies,"Sabina Park, Kingston",2017-07-09,male,T20,20,India,178,West Indies,0,1
1098211,West Indies,India,West Indies,"Sabina Park, Kingston",2017-07-09,male,T20,20,West Indies,179,India,1,0
1109610,Sri Lanka,India,India,"R.Premadasa Stadium, Khettarama",2017-09-06,male,T20,20,India,167,Sri Lanka,1,1
1109610,Sri Lanka,India,India,"R.Premadasa Stadium, Khettarama",2017-09-06,male,T20,20,Sri Lanka,163,India,0,0
1115798,New Zealand,West Indies,New Zealand,Saxton Oval,2017-12-29,male,T20,20,New Zealand,181,West Indies,1,1
1115798,New Zealand,West Indies,New Zealand,Saxton Oval,2017-12-29,male,T20,20,West Indies,136,New Zealand,0,0
1115799,New Zealand,West Indies,,Bay Oval,2018-01-01,male,T20,20,New Zealand,99,West Indies,0,1
1115800,New Zealand,West Indies,New Zealand,Bay Oval,2018-01-03,male,T20,20,New Zealand,231,West Indies,1,1
1115800,New Zealand,West Indies,New Zealand,Bay Oval,2018-01-03,male,T20,20,West Indies,118,New Zealand,0,0
1115807,Pakistan,New Zealand,New Zealand,Westpac Stadium,2018-01-22,male,T20,20,New Zealand,102,Pakistan,1,1
1115807,Pakistan,New Zealand,New Zealand,Westpac Stadium,2018-01-22,male,T20,20,Pakistan,102,New Zealand,0,0
1115808,Pakistan,New Zealand,Pakistan,Eden Park,2018-01-25,male,T20,20,New Zealand,136,Pakistan,0,1
1115808,Pakistan,New Zealand,Pakistan,Eden Park,2018-01-25,male,T20,20,Pakistan,191,New Zealand,1,0
1115809,Pakistan,New Zealand,Pakistan,Bay Oval,2018-01-28,male,T20,20,New Zealand,159,Pakistan,0,1
1115809,Pakistan,New Zealand,Pakistan,Bay Oval,2018-01-28,male,T20,20,Pakistan,176,New Zealand,1,0
1117821,Pakistan,ICC World XI,Pakistan,Gaddafi Stadium,2017-09-12,male,T20,20,ICC World XI,167,Pakistan,0,1
1117821,Pakistan,ICC World XI,Pakistan,Gaddafi Stadium,2017-09-12,male,T20,20,Pakistan,190,ICC World XI,1,0
1117822,Pakistan,ICC World XI,ICC World XI,Gaddafi Stadium,2017-09-13,male,T20,20,ICC World XI,172,Pakistan,1,1
1117822,Pakistan,ICC World XI,ICC World XI,Gaddafi Stadium,2017-09-13,male,T20,20,Pakistan,164,ICC World XI,0,0
1117824,Pakistan,ICC World XI,Pakistan,Gaddafi Stadium,2017-09-15,male,T20,20,ICC World XI,145,Pakistan,0,1
1117824,Pakistan,ICC World XI,Pakistan,Gaddafi Stadium,2017-09-15,male,T20,20,Pakistan,181,ICC World XI,1,0
1119501,Australia,India,India,JSCA International Stadium Complex,2017-10-07,male,T20,20,Australia,115,India,0,1
1119501,Australia,India,India,JSCA International Stadium Complex,2017-10-07,male,T20,20,India,48,Australia,1,0
1119502,India,Australia,Australia,Barsapara Cricket Stadium,2017-10-10,male,T20,20,Australia,120,India,1,1
1119502,India,Australia,Australia,Barsapara Cricket Stadium,2017-10-10,male,T20,20,India,108,Australia,0,0
1119542,England,Australia,England,Edgbaston,2018-06-27,male,T20,20,Australia,187,England,0,1
1119542,England,Australia,England,Edgbaston,2018-06-27,male,T20,20,England,218,Australia,1,0
1119543,England,India,India,Old Trafford,2018-07-03,male,T20,20,England,152,India,0,1
1119543,England,India,India,Old Trafford,2018-07-03,male,T20,20,India,157,England,1,0
1119544,India,England,England,Sophia Gardens,2018-07-06,male,T20,20,England,144,India,1,1
1119544,India,England,England,Sophia Gardens,2018-07-06,male,T20,20,India,139,England,0,0
1119545,England,India,India,County Ground,2018-07-08,male,T20,20,England,193,India,0,1
1119545,England,India,India,County Ground,2018-07-08,male,T20,20,India,200,England,1,0
1120093,India,New Zealand,India,Arun Jaitley Stadium,2017-11-01,male,T20,20,India,193,New Zealand,1,1
1120093,India,New Zealand,India,Arun Jaitley Stadium,2017-11-01,male,T20,20,New Zealand,140,India,0,0
1120094,New Zealand,India,New Zealand,Saurashtra Cricket Association Stadium,2017-11-04,male,T20,20,India,152,New Zealand,0,1
1120094,New Zealand,India,New Zealand,Saurashtra Cricket Association Stadium,2017-11-04,male,T20,20,New Zealand,184,India,1,0
1120095,India,New Zealand,India,Greenfield International Stadium,2017-11-07,male,T20,20,India,64,New Zealand,1,1
1120095,India,New Zealand,India,Greenfield International Stadium,2017-11-07,male,T20,20,New Zealand,53,India,0,0
1120291,Sri Lanka,Pakistan,Pakistan,Sheikh Zayed Stadium,2017-10-26,male,T20,20,Pakistan,96,Sri Lanka,1,1
1120291,Sri Lanka,Pakistan,Pakistan,Sheikh Zayed Stadium,2017-10-26,male,T20,20,Sri Lanka,98,Pakistan,0,0
1120292,Sri Lanka,Pakistan,Pakistan,Sheikh Zayed Stadium,2017-10-27,male,T20,20,Pakistan,115,Sri Lanka,1,1
1120292,Sri Lanka,Pakistan,Pakistan,Sheikh Zayed Stadium,2017-10-27,male,T20,20,Sri Lanka,120,Pakistan,0,0
1120293,Pakistan,Sri Lanka,Pakistan,Gaddafi Stadium,2017-10-29,male,T20,20,Pakistan,174,Sri Lanka,1,1
1120293,Pakistan,Sri Lanka,Pakistan,Gaddafi Stadium,2017-10-29,male,T20,20,Sri Lanka,141,Pakistan,0,0
1122285,India,South Africa,India,The Wanderers Stadium,2018-02-18,male,T20,20,India,192,South Africa,1,1
1122285,India,South Africa,India,The Wanderers Stadium,2018-02-18,male,T20,20,South Africa,167,India,0,0
1122286,India,South Africa,South Africa,SuperSport Park,2018-02-21,male,T20,20,India,187,South Africa,0,1
1122286,India,South Africa,South Africa,SuperSport Park,2018-02-21,male,T20,20,South Africa,182,India,1,0
1122287,India,South Africa,India,Newlands,2018-02-24,male,T20,20,India,164,South Africa,1,1
1122287,India,South Africa,India,Newlands,2018-02-24,male,T20,20,South Africa,161,India,0,0
1122729,India,Sri Lanka,India,Barabati Stadium,2017-12-20,male,T20,20,India,173,Sri Lanka,1,1
1122729,India,Sri Lanka,India,Barabati Stadium,2017-12-20,male,T20,20,Sri Lanka,85,India,0,0
1122730,India,Sri Lanka,India,Holkar Cricket Stadium,2017-12-22,male,T20,20,India,251,Sri Lanka,1,1
1122730,India,Sri Lanka,India,Holkar Cricket Stadium,2017-12-22,male,T20,20,Sri Lanka,163,India,0,0
1122731,Sri Lanka,India,India,Wankhede Stadium,2017-12-24,male,T20,20,India,131,Sri Lanka,1,1
1122731,Sri Lanka,India,India,Wankhede Stadium,2017-12-24,male,T20,20,Sri Lanka,127,India,0,0
1122902,West Indies,Sri Lanka,West Indies,Coolidge Cricket Ground,2017-10-21,female,T20,20,Sri Lanka,99,West Indies,0,1
1122902,West Indies,Sri Lanka,West Indies,Coolidge Cricket Ground,2017-10-21,female,T20,20,West Indies,146,Sri Lanka,1,0
1122908,New Zealand,Pakistan,New Zealand,Sharjah Cricket Stadium,2017-11-09,female,T20,20,New Zealand,148,Pakistan,1,1
1122908,New Zealand,Pakistan,New Zealand,Sharjah Cricket Stadium,2017-11-09,female,T20,20,Pakistan,100,New Zealand,0,0
1122909,New Zealand,Pakistan,New Zealand,Sharjah Cricket Stadium,2017-11-12,female,T20,20,New Zealand,123,Pakistan,1,1
1122909,New Zealand,Pakistan,New Zealand,Sharjah Cricket Stadium,2017-11-12,female,T20,20,Pakistan,81,New Zealand,0,0
1122910,Pakistan,New Zealand,New Zealand,Sharjah Cricket Stadium,2017-11-14,female,T20,20,New Zealand,91,Pakistan,1,1
1122910,Pakistan,New Zealand,New Zealand,Sharjah Cricket Stadium,2017-11-14,female,T20,20,Pakistan,83,New Zealand,0,0
1123206,South Africa,India,India,Senwes Park,2018-02-13,female,T20,20,India,156,South Africa,1,1
1123206,South Africa,India,India,Senwes Park,2018-02-13,female,T20,20,South Africa,161,India,0,0
1123207,South Africa,India,India,Buffalo Park,2018-02-16,female,T20,20,India,140,South Africa,1,1
1123207,South Africa,India,India,Buffalo Park,2018-02-16,female,T20,20,South Africa,134,India,0,0
1123208,India,South Africa,South Africa,The Wanderers Stadium,2018-02-18,female,T20,20,India,131,South Africa,0,1
1123208,India,South Africa,South Africa,The Wanderers Stadium,2018-02-18,female,T20,20,South Africa,133,India,1,0
1123209,South Africa,India,,SuperSport Park,2018-02-21,female,T20,20,South Africa,122,India,0,1
1123210,India,South Africa,India,Newlands,2018-02-24,female,T20,20,India,154,South Africa,1,1
1123210,India,South Africa,India,Newlands,2018-02-24,female,T20,20,South Africa,109,India,0,0
1126720,New Zealand,South Africa,New Zealand,The Cooper Associates County Ground,2018-06-20,female,T20,20,New Zealand,208,South Africa,1,1
1126720,New Zealand,South Africa,New Zealand,The Cooper Associates County Ground,2018-06-20,female,T20,20,South Africa,146,New Zealand,0,0
1126721,England,South Africa,England,The Cooper Associates County Ground,2018-06-20,female,T20,20,England,248,South Africa,1,1
1126721,England,South Africa,England,The Cooper Associates County Ground,2018-06-20,female,T20,20,South Africa,127,England,0,0
1126722,England,South Africa,South Africa,The Cooper Associates County Ground,2018-06-23,female,T20,20,England,155,South Africa,0,1
1126722,England,South Africa,South Africa,The Cooper Associates County Ground,2018-06-23,female,T20,20,South Africa,165,England,1,0
1126723,England,New Zealand,England,The Cooper Associates County Ground,2018-06-23,female,T20,20,England,169,New Zealand,1,1
1126723,England,New Zealand,England,The Cooper Associates County Ground,2018-06-23,female,T20,20,New Zealand,111,England,0,0
1126724,South Africa,New Zealand,New Zealand,County Ground,2018-06-28,female,T20,20,New Zealand,140,South Africa,1,1
1126724,South Africa,New Zealand,New Zealand,County Ground,2018-06-28,female,T20,20,South Africa,134,New Zealand,0,0
1126725,New Zealand,England,England,County Ground,2018-06-28,female,T20,20,England,127,New Zealand,1,1
1126725,New Zealand,England,England,County Ground,2018-06-28,female,T20,20,New Zealand,126,England,0,0
1126726,New Zealand,England,England,County Ground,2018-07-01,female,T20,20,England,135,New Zealand,1,1
1126726,New Zealand,England,England,County Ground,2018-07-01,female,T20,20,New Zealand,129,England,0,0
1127300,Pakistan,Scotland,Pakistan,"Grange Cricket Club, Raeburn Place",2018-06-12,male,T20,20,Pakistan,196,Scotland,1,1
1127300,Pakistan,Scotland,Pakistan,"Grange Cricket Club, Raeburn Place",2018-06-12,male,T20,20,Scotland,149,Pakistan,0,0
1127301,Pakistan,Scotland,Pakistan,"Grange Cricket Club, Raeburn Place",2018-06-13,male,T20,20,Pakistan,154,Scotland,1,1
1127301,Pakistan,Scotland,Pakistan,"Grange Cricket Club, Raeburn Place",2018-06-13,male,T20,20,Scotland,79,Pakistan,0,0
1130746,Bangladesh,Sri Lanka,Sri Lanka,"Shere Bangla National Stadium, Mirpur",2018-02-15,male,T20,20,Bangladesh,172,Sri Lanka,0,1
1130746,Bangladesh,Sri Lanka,Sri Lanka,"Shere Bangla National Stadium, Mirpur",2018-02-15,male,T20,20,Sri Lanka,179,Bangladesh,1,0
1130747,Sri Lanka,Bangladesh,Sri Lanka,Sylhet International Cricket Stadium,2018-02-18,male,T20,20,Bangladesh,125,Sri Lanka,0,1
1130747,Sri Lanka,Bangladesh,Sri Lanka,Sylhet International Cricket Stadium,2018-02-18,male,T20,20,Sri Lanka,200,Bangladesh,1,0
1131235,India,Australia,Australia,Brabourne Stadium,2018-03-22,female,T20,20,Australia,150,India,1,1
1131235,India,Australia,Australia,Brabourne Stadium,2018-03-22,female,T20,20,India,150,Australia,0,0
1131236,Australia,England,England,Brabourne Stadium,2018-03-23,female,T20,20,Australia,144,England,0,1
1131236,Australia,England,England,Brabourne Stadium,2018-03-23,female,T20,20,England,145,Australia,1,0
1131237,India,England,England,Brabourne Stadium,2018-03-25,female,T20,20,England,194,India,1,1
1131237,India,England,England,Brabourne Stadium,2018-03-25,female,T20,20,India,186,England,0,0
1131238,Australia,India,Australia,Brabourne Stadium,2018-03-26,female,T20,20,Australia,180,India,1,1
1131238,Australia,India,Australia,Brabourne Stadium,2018-03-26,female,T20,20,India,145,Australia,0,0
1131239,England,Australia,Australia,Brabourne Stadium,2018-03-28,female,T20,20,Australia,95,England,1,1
1131239,England,Australia,Australia,Brabourne Stadium,2018-03-28,female,T20,20,England,92,Australia,0,0
1131240,England,India,India,Brabourne Stadium,2018-03-29,female,T20,20,England,104,India,0,1
1131240,England,India,India,Brabourne Stadium,2018-03-29,female,T20,20,India,95,England,1,0
1131241,Australia,England,Australia,Brabourne Stadium,2018-03-31,female,T20,20,Australia,206,England,1,1
1131241,Australia,England,Australia,Brabourne Stadium,2018-03-31,female,T20,20,England,141,Australia,0,0
1133817,India,Sri Lanka,Sri Lanka,"R.Premadasa Stadium, Khettarama",2018-03-06,male,T20,20,India,164,Sri Lanka,0,1
1133817,India,Sri Lanka,Sri Lanka,"R.Premadasa Stadium, Khettarama",2018-03-06,male,T20,20,Sri Lanka,164,India,1,0
1133818,Bangladesh,India,India,"R.Premadasa Stadium, Khettarama",2018-03-08,male,T20,20,Bangladesh,124,India,0,1
1133818,Bangladesh,India,India,"R.Premadasa Stadium, Khettarama",2018-03-08,male,T20,20,India,136,Bangladesh,1,0
1133819,Sri Lanka,Bangladesh,Bangladesh,"R.Premadasa Stadium, Khettarama",2018-03-10,male,T20,20,Bangladesh,206,Sri Lanka,1,1
1133819,Sri Lanka,Bangladesh,Bangladesh,"R.Premadasa Stadium, Khettarama",2018-03-10,male,T20,20,Sri Lanka,197,Bangladesh,0,0
